,stationcode,state,fueltype,price,lastupdated
0,1,NSW,DL,222.9,29/08/2023 03:45:41
1,1,NSW,E10,195.9,29/08/2023 05:20:33
2,1,NSW,P95,212.9,29/08/2023 05:20:33
3,1,NSW,P98,220.9,29/08/2023 05:20:33
4,1,NSW,U91,197.9,29/08/2023 05:20:33
5,2,NSW,DL,225.9,30/08/2023 05:15:42
6,2,NSW,E10,219.9,28/08/2023 03:35:32
7,2,NSW,P95,236.9,28/08/2023 03:35:32
8,2,NSW,P98,244.9,28/08/2023 03:35:32
9,3,NSW,DL,213.9,30/08/2023 05:15:42
10,3,NSW,E10,199.9,27/08/2023 09:15:36
11,3,NSW,P95,216.9,27/08/2023 09:15:36
12,3,NSW,P98,224.9,27/08/2023 09:15:36
13,4,NSW,DL,213.9,17/08/2023 08:30:42
14,4,NSW,P95,216.9,26/08/2023 07:30:37
15,4,NSW,P98,224.9,26/08/2023 07:30:37
16,4,NSW,U91,201.9,26/08/2023 07:30:37
17,5,NSW,DL,219.9,10/08/2023 23:20:40
18,5,NSW,E10,219.9,21/08/2023 00:30:44
19,5,NSW,P95,236.9,21/08/2023 00:30:44
20,5,NSW,P98,244.9,21/08/2023 00:30:44
21,5,NSW,U91,221.9,21/08/2023 00:30:44
22,6,NSW,DL,231.9,29/08/2023 03:15:40
23,6,NSW,U91,204.9,25/08/2023 01:15:41
24,7,NSW,DL,217.9,21/08/2023 03:15:38
25,7,NSW,E10,204.9,25/08/2023 03:15:38
26,7,NSW,P95,221.9,25/08/2023 03:15:38
27,7,NSW,P98,229.9,25/08/2023 03:15:38
28,7,NSW,U91,206.9,25/08/2023 03:15:38
29,8,NSW,DL,212.9,30/08/2023 04:15:39
30,8,NSW,E10,195.9,30/08/2023 04:15:39
31,8,NSW,P95,212.9,30/08/2023 04:15:39
32,8,NSW,P98,220.9,30/08/2023 04:15:39
33,9,NSW,DL,221.9,28/08/2023 07:15:38
34,9,NSW,E10,191.9,30/08/2023 05:15:42
35,9,NSW,P98,216.9,30/08/2023 05:15:42
36,9,NSW,PDL,230.9,28/08/2023 07:15:38
37,9,NSW,U91,193.9,30/08/2023 05:15:42
38,10,NSW,DL,217.9,29/08/2023 03:15:40
39,10,NSW,E10,192.9,30/08/2023 23:31:14
40,10,NSW,P95,214.9,30/08/2023 23:31:14
41,10,NSW,P98,221.9,30/08/2023 23:31:14
42,10,NSW,U91,196.9,30/08/2023 23:31:14
43,11,NSW,DL,216.9,22/08/2023 23:20:34
44,11,NSW,E10,219.9,21/08/2023 00:20:37
45,11,NSW,P95,236.9,21/08/2023 00:20:37
46,11,NSW,P98,244.9,21/08/2023 00:20:37
47,11,NSW,U91,221.9,21/08/2023 00:20:37
48,12,NSW,DL,216.9,29/08/2023 00:30:40
49,12,NSW,E10,193.9,30/08/2023 09:15:40
50,12,NSW,P98,218.9,30/08/2023 09:15:40
51,13,NSW,DL,225.9,29/08/2023 01:00:41
52,13,NSW,E10,206.9,29/08/2023 01:15:41
53,13,NSW,P98,231.9,29/08/2023 01:15:41
54,13,NSW,U91,208.9,29/08/2023 01:15:41
55,14,NSW,DL,226.9,20/08/2023 23:50:32
56,14,NSW,E10,193.9,28/08/2023 07:20:35
57,14,NSW,P95,210.9,28/08/2023 07:20:35
58,14,NSW,P98,218.9,28/08/2023 07:20:35
59,14,NSW,PDL,235.9,20/08/2023 23:50:32
60,14,NSW,U91,195.9,28/08/2023 07:20:35
61,15,NSW,P95,216.9,28/08/2023 06:04:52
62,15,NSW,P98,224.9,28/08/2023 06:04:52
63,15,NSW,PDL,230.9,28/08/2023 04:52:55
64,15,NSW,U91,199.9,28/08/2023 06:04:52
65,16,NSW,E10,196.9,28/08/2023 23:59:09
66,16,NSW,P98,222.9,28/08/2023 23:59:09
67,16,NSW,PDL,227.9,29/08/2023 02:05:10
68,16,NSW,U91,199.9,28/08/2023 23:59:09
69,17,NSW,P95,219.9,29/08/2023 20:05:26
70,17,NSW,P98,226.9,29/08/2023 20:05:26
71,17,NSW,PDL,224.9,29/08/2023 00:14:10
72,17,NSW,U91,203.9,29/08/2023 20:05:26
73,18,NSW,DL,212.9,28/08/2023 08:15:40
74,18,NSW,P95,207.9,30/08/2023 23:15:46
75,18,NSW,P98,215.9,30/08/2023 23:15:46
76,18,NSW,U91,192.9,30/08/2023 23:15:46
77,19,NSW,DL,211.9,15/08/2023 23:20:35
78,19,NSW,E10,219.9,14/08/2023 23:15:44
79,19,NSW,P95,236.9,14/08/2023 23:15:44
80,19,NSW,P98,244.9,14/08/2023 23:15:44
81,19,NSW,U91,221.9,14/08/2023 23:30:45
82,20,NSW,P98,221.9,10/08/2023 02:05:39
83,20,NSW,U91,198.9,10/08/2023 02:05:39
84,21,NSW,DL,215.9,29/08/2023 00:20:37
85,21,NSW,E10,189.9,29/08/2023 09:15:37
86,21,NSW,P95,206.9,29/08/2023 09:15:37
87,21,NSW,P98,214.9,29/08/2023 09:15:37
88,21,NSW,U91,191.9,29/08/2023 09:15:37
89,22,NSW,DL,215.9,20/08/2023 23:15:39
90,22,NSW,P95,222.9,30/08/2023 21:15:44
91,22,NSW,P98,230.9,30/08/2023 21:15:44
92,22,NSW,U91,207.9,30/08/2023 21:15:44
93,23,NSW,DL,229.9,29/08/2023 01:15:41
94,23,NSW,E10,215.9,29/08/2023 05:15:40
95,23,NSW,P95,232.9,29/08/2023 05:15:40
96,23,NSW,P98,240.9,29/08/2023 05:15:40
97,24,NSW,DL,215.9,11/08/2023 04:50:38
98,24,NSW,E10,215.9,24/08/2023 23:15:42
99,24,NSW,P95,232.9,24/08/2023 23:15:42
100,24,NSW,P98,240.9,24/08/2023 23:15:42
101,24,NSW,U91,217.9,24/08/2023 23:15:42
102,25,NSW,DL,213.9,10/08/2023 01:00:40
103,25,NSW,E10,192.9,25/08/2023 05:15:38
104,25,NSW,P95,209.9,25/08/2023 05:15:38
105,25,NSW,P98,217.9,25/08/2023 05:15:38
106,25,NSW,PDL,222.9,10/08/2023 01:00:40
107,25,NSW,U91,194.9,25/08/2023 05:15:38
108,26,NSW,DL,228.9,29/08/2023 01:00:41
109,26,NSW,P95,221.9,29/08/2023 01:15:41
110,26,NSW,P98,229.9,29/08/2023 01:15:41
111,26,NSW,U91,206.9,29/08/2023 01:15:41
112,27,NSW,DL,229.9,29/08/2023 21:15:38
113,27,NSW,E10,218.9,23/08/2023 01:15:42
114,27,NSW,P95,235.9,23/08/2023 01:15:42
115,27,NSW,P98,243.9,23/08/2023 01:15:42
116,27,NSW,U91,220.9,23/08/2023 01:15:42
117,29,NSW,DL,212.9,30/08/2023 04:30:40
118,29,NSW,E10,197.9,30/08/2023 04:30:40
119,29,NSW,P95,214.9,30/08/2023 04:30:40
120,29,NSW,P98,222.9,30/08/2023 04:30:40
121,29,NSW,U91,199.9,30/08/2023 04:30:40
122,30,NSW,E10,201.9,30/08/2023 03:15:40
123,30,NSW,P98,226.9,30/08/2023 03:15:40
124,30,NSW,U91,203.9,30/08/2023 03:15:40
125,31,NSW,DL,220.9,29/08/2023 00:35:35
126,31,NSW,E10,205.9,29/08/2023 05:30:41
127,31,NSW,P95,222.9,29/08/2023 05:30:41
128,31,NSW,P98,230.9,29/08/2023 05:30:41
129,31,NSW,U91,207.9,29/08/2023 05:30:41
130,33,NSW,DL,214.9,24/08/2023 03:15:41
131,33,NSW,P95,211.9,29/08/2023 03:50:36
132,33,NSW,P98,219.9,29/08/2023 03:50:36
133,33,NSW,U91,196.9,29/08/2023 03:50:36
134,34,NSW,DL,219.9,20/08/2023 23:15:39
135,34,NSW,E10,201.9,30/08/2023 02:45:40
136,34,NSW,P95,218.9,30/08/2023 02:45:40
137,34,NSW,P98,226.9,30/08/2023 02:45:40
