,brandid,stationid,brand,code,name,address,location.latitude,location.longitude
0,,,United,972,United Petroleum Umina,"307-313 Ocean Beach Road, UMINA BEACH NSW 2257",-33.511231,151.318092
1,,,United,2051,United Petroleum Wilberforce,"539 Wilberforce Rd, WILBERFORCE NSW 2756",-33.563205,150.8372818
2,,,Caltex,2117,Toowoon Bay Service Station,"142 Bay Rd, TOOWOON BAY NSW 2261",-33.360126,151.497039
3,,,Metro Fuel,2118,Metro Petroleum Oakflats,"80-82 Central Ave, OAK FLATS NSW 2529",-34.562617,150.819412
4,,,Ampol,2122,Ampol Brunswick Heads,"5 Tweed St, BRUNSWICK HEADS NSW 2483",-28.538168,153.548694
5,,,Ampol,2125,Ampol Woolworths Lambton,"422 Newcastle Road, NORTH LAMBTON NSW 2299",-32.9095591,151.7109683
6,,,Caltex,2128,Caltex Nyngan,"39 Pangee St, NYNGAN NSW 2825",-31.560944,147.191497
7,,,EG Ampol,2129,EG Ampol West Ryde,"924 Victoria Rd, WEST RYDE NSW 2114",-33.810887,151.093485
8,,,Ampol,2135,TASCO Leeton Vance Rd,"44-46 Vance Rd, LEETON NSW 2705",-34.54381,146.387014
9,,,Transwest Fuels,2136,Transwest Fuels,"286 Manilla St, MANILLA NSW 2346",-30.7397134,150.7162884
10,,,Transwest Fuels,2137,Transwest Fuels,"2 Chelmsford St, KOOTINGAL NSW 2352",-31.0560489,151.0475884
11,,,Independent,2141,Powerfuel,"101 Blaxcell St, GRANVILLE NSW 2142",-33.842551,151.010602
12,,,BP,2142,BP Albury,"842 David St, NORTH ALBURY NSW 2640",-36.063923,146.925276
13,,,Caltex,2144,Caltex Thornton,"2 Weakleys Dr, THORNTON NSW 2322",-32.7921634,151.6365207
14,,,BP,2145,BP Eastern Creek T/S,"1 Wallgrove Rd, Eastern Creek NSW 2766",-33.81127,150.84995
15,,,Ampol,2152,Ampol Londonderry,"521 Carrington Road, LONDONDERRY NSW 2753",-33.645291,150.736159
16,,,BP,2153,BP Matraville,"585 Bunnerong Rd, MATRAVILLE NSW 2036",-33.963312,151.231804
17,,,7-Eleven,2155,7-Eleven Thornton,"1 Weakleys Dr, THORNTON NSW 2322",-32.7929856,151.6374608
18,,,BP,2159,Mountain Motors Walcha,"18n Derby St, WALCHA NSW 2354",-30.984604,151.593797
19,,,Mobil,2175,Mobil Jugiong,"5 Riverside Drive, JUGIONG NSW 2726",-34.820974,148.352461
20,,,Independent,2176,Vignes Independent Petroleum,"28 Sawtell Rd, TOORMINA NSW 2452",-30.352188,153.10031
21,,,Mobil,2184,South Petrol,"48 Illawarra St, PORT KEMBLA NSW 2505",-34.48657,150.901734
22,,,Caltex,2192,Erowal Bay General Store,"42 Naval Pde, EROWAL BAY NSW 2540",-35.099591,150.650958
23,,,Caltex,2193,CALTEX MUSWELLBROOK,"42-50 Sydney St, MUSWELLBROOK NSW 2333",-32.268367,150.886748
24,,,Caltex,2194,Junee Tyre Service,"Corner Cox And Main Street, JUNEE NSW 2663",-34.867478,147.584937
25,,,BP,2198,BP Berowra,"111 Berowra Waters Rd, BEROWRA HEIGHTS NSW 2082",-33.615454,151.141677
26,,,Ampol,2204,Ampol Foodary Concord,"87-89 Parramatta Rd, CONCORD NSW 2137",-33.867895,151.099444
27,,,Independent,2205,IGA Blackheath,"211 Great Western Hwy, BLACKHEATH NSW 2785",-33.637526,150.285357
28,,,Metro Fuel,2211,Metro Londonderry,"486 Londonderry Rd, LONDONDERRY NSW 2753",-33.642335,150.734374
29,,,Independent,2219,Bendy Kates,"2a Francis Hollis Dr, TATHRA NSW 2550",-36.724103,149.977408
30,,,BP,2221,BP Guildford,"257 Guildford Rd, GUILDFORD NSW 2161",-33.85437,150.988836
31,,,Shell,2222,Shell Wyong,"140 Pacific Hwy, WYONG NSW 2259",-33.2821101,151.4256232
32,,,Metro Fuel,2223,Riverside Co,"203 Charlotte Bay St, CHARLOTTE BAY NSW 2428",-32.343233,152.51482
33,,,Enhance,2224,Greenwell Point Service Centre,"85 Greenwell Point Rd, GREENWELL POINT NSW 2540",-34.907742,150.731929
34,,,Ampol,2225,Ampol Bombala Depot,"1 High Street, BOMBALA NSW 2632",-36.903943,149.2408217
35,,,Ampol,2226,Ampol Goulburn Depot,"13 Sloane St, Goulburn NSW 2580",-34.77423,149.70893
36,,,Ampol,2227,Ampol Bega Depot,"36 Lagoon Street, BEGA NSW 2550",-36.6685147,149.828596
37,,,BP,2228,BP Greta,"122 High St, GRETA NSW 2334",-32.675933,151.387434
38,,,BP,2229,BP Tenterfield,"69 Rouse St, TENTERFIELD NSW 2372",-29.064999,152.016886
39,,,Independent,2230,Manildra Newsagency & Roadhouse,"2 Kiewa St, MANILDRA NSW 2865",-33.185679,148.687391
40,,,7-Eleven,2232,7-Eleven Albion Park Rail,"47-57 Princess Highway, ALBION PARK RAIL NSW 2527",-34.552962,150.788927
41,,,Metro Fuel,2242,Metro Petroleum Chester Hill,"172 Hector St, CHESTER HILL NSW 2162",-33.8889,151.005411
42,,,Ampol,2241,Ampol Foodary Chinderah,"Tweed Valley Way, CHINDERAH NSW 2487",-28.256781,153.527876
43,,,BP,2240,BP Haberfield,"95-97 Ramsay St, HABERFIELD NSW 2045",-33.881623,151.140229
44,,,Ampol,2237,Rural Supplies Coolamon,"82 Cowabbie St, COOLAMON NSW 2701",-34.817305,147.200239
45,,,Independent,2245,Willawarrin General Store and Post Office,"44 Main St, WILLAWARRIN NSW 2440",-30.929073,152.627128
46,,,EG Ampol,2247,EG Ampol Goulburn South,"Corner Hume Street And Ducks Lane, GOULBURN NSW 2580",-34.771998,149.691048
47,,,Caltex,2250,Caltex Wetherill Park,"449 Victoria St, WETHERILL PARK NSW 2164",-33.844911,150.89233
48,,,BP,2252,BP Silverwater,"Cnr Silverwater Road & Derby Street, SILVERWATER NSW 2128",-33.837648,151.046763
49,,,Caltex,2256,BK Cafe and Fuel,"70 Court St, MANILLA NSW 2346",-30.748218,150.724537
50,,,Lowes,2257,Lowes Petroleum Service,"4 Martin St, WILCANNIA NSW 2836",-31.562264,143.376225
51,,,BP,2259,BP Rose Bay Central,"777 New South Head Rd, ROSE BAY NSW 2029",-33.870581,151.268579
52,,,Ampol,2260,Ampol Cooma Truck Stop Polo Flat,"2 Geebung St, POLO FLAT NSW 2630",-36.224727,149.147857
53,,,Ampol,2262,Ampol Armidale,"142 Marsh St, ARMIDALE NSW 2350",-30.517087,151.667591
54,,,Ampol,2263,Ampol Wyoming,"465 Pacific Hwy, WYOMING NSW 2250",-33.409462,151.349979
55,,,Independent,2265,Oasis Tuncurry,"186 The Lakes Way, TUNCURRY NSW 2428",-32.165452,152.493274
56,,,Transwest Fuels,2268,Summers Oxley Vale Takeaway & Superette,"171 Manilla Rd, OXLEY VALE NSW 2340",-31.057689,150.895119
57,,,Metro Fuel,2269,Metro Petroleum Bexley North,"307-309 Bexley Rd, BEXLEY NORTH NSW 2207",-33.939869,151.114771
58,,,BP,2273,BP Roadhouse Murrurundi,"3-5 Mayne Street, MURRURUNDI NSW 2338",-31.765821,150.842704
59,,,BP,2274,BP Wardell,"32 Fitzroy St, WARDELL NSW 2477",-28.95026,153.465738
60,,,Independent,2276,Telarah Fuels,"17 South St, TELARAH NSW 2320",-32.72848,151.535643
61,,,BP,2277,Lawrence General & Liquor Store,"1 Richmond St, LAWRENCE NSW 2460",-29.499669,153.100149
62,,,Independent,2280,Emmdale Roadhouse,"15891 Barrier Highway, COBAR NSW 2835",-31.653308,144.268416
63,,,Independent,2282,Townsend General Store,"1 Scullin St, TOWNSEND NSW 2463",-29.463879,153.217733
64,,,EG Ampol,2283,EG Ampol Bateau Bay,"9 Bay Village Rd, BATEAU BAY NSW 2261",-33.373145,151.473789
65,,,7-Eleven,2286,7-Eleven Gateshead,"13-15 Pacific Highway, GATESHEAD NSW 2290",-32.987353,151.69179
66,,,Ampol,2292,Ampol Mittagong,"115 Main St, MITTAGONG NSW 2575",-34.450278,150.445145
67,,,Independent,2295,Tabulam Rural Agents,"8611 Bruxner Hwy, TABULAM NSW 2469",-28.887485,152.568115
68,,,Independent,2298,Nicholson Petroleum,"11 Lower Rankin St, FORBES NSW 2871",-33.382469,148.011318
69,,,Liberty,2299,Casino Roadhouse,"86 Johnston St, CASINO NSW 2470",-28.859588,153.05626
70,,,Caltex,2300,Reel (Taralga) Pty Ltd,"58 Bunnaby St, TARALGA NSW 2580",-34.405792,149.819043
